שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הרחבת הזכאות להליכי נשיאת עוברים), התש""ף-2019",,פ/1/22,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081174,החוק מגביר את האפשרות החוקית להתקשר בהסכם פונדקאות,,,,יעל גרמן,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעל גרמןאיתן גינזבורג,
"הצעת חוק התפזרות הכנסת העשרים ושתיים, התש""ף-2019",,פ/2/22,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081176,לא רלוונטי,,,,תמר זנדברג,ניצן הורוביץ,סתיו שפיר,יאיר גולן,אילן גילאון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברגניצן הורוביץסתיו שפיריאיר גולןאילן גילאון,
"הצעת חוק הרשות הלאומית למאבק בעוני, התש""ף-2019",,פ/3/22,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081183,"החוק מציע להקים עוד רשות ענקית ומזיקה, שכמוה יש כבר לא מעט",,,,משה ארבל,מיכאל מלכיאלי,ינון אזולאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבלמיכאל מלכיאליינון אזולאי,
"הצעת חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב) (תיקון - הנחה בארנונה לרופאים מתמחים בפריפריה), התש""ף-2019",,פ/4/22,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081184,חוק מזיק במקצת שקובע הנחה לרופאים בפריפריה.,,,,יעל גרמן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעל גרמן,
"הצעת חוק הכנסת (תיקון - קביעת שכר חברי הכנסת בידי ועדה ציבורית), התש""ף-2019",,פ/5/22,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081189,חוק זניח יחסית שמשפר את אופן קביעת שכר חברי הכנסת,,,,יעל גרמן,מיקי חיימוביץ',רם בן ברק,יואב סגלוביץ',אורלי פרומן,ע'דיר כמאל מריח,יזהר שי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעל גרמןמיקי חיימוביץ'רם בן ברקיואב סגלוביץ'אורלי פרומןע'דיר כמאל מריחיזהר שי,
"הצעת חוק סיוע לצעירים חסרי עורף משפחתי, התש""ף-2019",,פ/6/22,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081191,"לכאורה חוק שמגדיל את העזרה הסוציאלית במדינה, אולם מדובר בתוספת קטנה לאוכלוסיה מיוחדת של ילדים ממשפחות הרוסות. לא הייתי מדרג",,,,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קארין אלהרר,
"הצעת חוק שלילת תקצוב מוסדות חינוך המפלים תלמידים ברישום אליהם (תיקוני חקיקה), התש""ף-2019 ",,פ/7/22,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081195,"החוק כופה קבלה ללימודים של תלמידים, בניגוד לרצון בעלי בית הספר ולכן הנו בלתי ליברלי",,,,מאיר כהן,מיכאל מרדכי ביטון,פנינה תמנו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מאיר כהןמיכאל מרדכי ביטוןפנינה תמנו,
"הצעת חוק האגודות העותומניות (רישום ופיקוח), התש""ף-2019",,פ/8/22,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081196,מטיל חובת שקיפות על עמותות שנהנות מכח חוקי רב,,,,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל,
"הצעת חוק האגודות העותומניות (רישום ופיקוח), התש""ף-2019",,פ/9/22,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081291,"החוק מטיל חובת שקיפות על עמותות שנהנות מכח חוקי רב, אך ללא שקיפות",,,,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קארין אלהרר,
"הצעת חוק שירות המילואים (תיקון - משרת מילואים פעיל), התש""ף-2019",,פ/10/22,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081202,"החוק מוודא שתשלומי הביטוח הלאומי של המשרתים במילואים לא יפלו (באופן אבסורדי), על המעסיק, אלא על המדינה.",,,,עפר שלח,רם בן ברק,אורנה ברביבאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עפר שלחרם בן ברקאורנה ברביבאי,
