שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - הגדלת סכום הפיצוי בלא הוכחת נזק), התשף-2020""",ohadcn@gmail.com,פ/1/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085573,"פגיעה חמורה בזכות הקניין, בגלל שזו רק הגדלת פיצוי מקבל -2 ולא -3",,0,0,פנינה תמנו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פנינה תמנו
"הצעת חוק קליטת חיילים משוחררים (תיקון - מימוש כספי פיקדון בשל נגיף הקורונה) (הוראת שעה), התשף-2020""",ohadcn@gmail.com,פ/2/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087276,דרך חיובית להתמודד עם המצב,,1,0,עפר שלח,יוליה מלינובסקי קונין,משה אבוטבול,מירב כהן,יואב סגלוביץ',מתן כהנא,קטי קטרין שטרית,יואב קיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עפר שלחיוליה מלינובסקי קוניןמשה אבוטבולמירב כהןיואב סגלוביץ'מתן כהנאקטי קטרין שטריתיואב קיש
"הצעת חוק לקביעת שעות ההצבעה בקלפיות ולקביעת היקף יום השבתון בבחירות לכנסת ולרשויות המקומיות (תיקוני חקיקה), התשף-2020""",dup_laws_bot,פ/3/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085575,מקל את הנטל המוטל על ידי המדינהעל מעסיקים בשל יופ בחירות. ראה חוק פ/1384/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083473,,0,0,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורי מקלב
הצעת חוק-יסוד: הממשלה (תיקון - הפסקת כהונה של ראש ממשלה בממשלת מעבר שהוגש נגדו כתב אישום),,פ/4/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085576,,,0,0,עודד פורר,יוליה מלינובסקי קונין,יבגני סובה,אלי אבידר,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עודד פורריוליה מלינובסקי קוניןיבגני סובהאלי אבידרחמד עמאראלכס קושניר
"הצעת חוק זכויות החולה (תיקון - זכות מטופל לקבל רשומות רפואיות), התשף-2020""",bignafcomp@gmail.com,פ/5/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085578,הטלת חובה על מוסדות סמי-ממשלתיים,,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
"הצעת חוק הביטוח הלאומי (תיקון - נכה שהגיע לגיל פרישה), התשף-2020""",dup_laws_bot,פ/6/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085585,"הוצאה נוספת על חשבון משלם המיסים על דמי ביטוח לאומי, לא בעבורם (אלא לאנשים אחרים). מכריח תשלום כפוי של 'ביטוח' לאנשים אחרים. ראה חוק פ/442/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081836",,0,0,חוה אתי עטייה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חוה אתי עטייה
"הצעת חוק איסור פרסום והפצת שמות נפגעים, התשף-2020""",,פ/7/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085589,,,0,0,ע'דיר כמאל מריח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ע'דיר כמאל מריח
"הצעת חוק הלוואות לדיור (תיקון - הלוואה כהון עצמי) (הוראת שעה), התשף-2020""",bignafcomp@gmail.com,פ/8/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085616,"דברי ההסבר לא תואמים להצעת החוק. לא מדובר על הלוואה הערבות המדינה. אלא הלוות לזכאים שכבר קיימת. מגדילים אותה ומכריזים שהיא חלק מההון העצמי, בפועל יוצא שלזכאים האלה המדינה עריבה לחלק של המשכנתא שלקחו בשוק הפרטי מכיוון שההלוואה בשוק הפרטי פיצרע לפני ההלוואה מהמדינה.",,0,0,אורלי לוי אבקסיס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורלי לוי אבקסיס
"הצעת חוק העונשין (תיקון - איסור תיעוד של חיילי צבא ההגנה לישראל), התשף-2020""",,פ/9/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085650,,,0,0,מיכל שיר סגמן,מיכאל מלכיאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל שיר סגמןמיכאל מלכיאלי
"הצעת חוק הביטוח הלאומי (תיקון - תגמול למשרתים במילואים), התשף-2020""",dup_laws_bot,פ/10/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085626,שיפור קל לתנאי משרתי המילואים. ראה חוק פ/18/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081225,,0,0,עפר שלח,חילי טרופר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עפר שלחחילי טרופר
